M0	peripheral vascular disease
M956	membranous glomerulonephritis
M957	relapsed or refractory b-cell non-hodgkin's lymphoma (nhl)
M958	rhinitis
M959	duchenne muscular dystrophy (dmd)
M960	hemorrhage
M961	malignant hypercalcemia
M962	ocular hypertension
M963	cushing's disease
M964	recurrent chronic lymphocytic leukemia
M965	follicular lymphoma
M966	lepromatous leprosy
M967	accommodative esotropia
M968	severe active rheumatoid arthritis
M969	systemic inflammatory response syndrome
M970	breast adenocarcinoma
M971	blepharitis
M972	metastatic or unresectable cutaneous melanoma
M973	bacterial pharyngitis
M974	tension headaches
M975	staphylococcus epidermidis
M976	ascaris lumbricoides infection
M977	salt-losing adrenogenital syndrome
M978	chronic stable angina pectoris
M979	infertility
M980	familial cold auto-inflammatory syndrome (fcas)
M981	lymphangioleiomyomatosis
M982	anaplastic astrocytoma
M983	candida endocarditis
M984	low backache
M985	chronic atrial fibrillation
M986	tardive dyskinesia
M987	endometriosis
M988	dyslipidemia
M989	bronchiolitis
M990	ocular infections
M991	streptococcus pneumoniae type 15b
M992	mucopolysaccharidosis iv a
M993	tourette's syndrome
M994	gastrointestinal stromal tumor
M995	acute graft versus host disease
M996	scapulohumeral periarthritis
M997	gaucher's disease type 3
M998	psoriasis
M999	cd30-expressing mycosis fungoides
M1000	drug-induced extrapyramidal disorders
M1001	achondroplasia
M1002	beta-thalassemia
M1003	streptococcus pneumoniae type 22f
M1004	fascioliasis
M1005	lymphoma
M1006	depression
M1007	braf v600e-mutant metastatic colorectal cancer
M1008	ischemic stroke
M1009	seasonal allergic rhinitis
M1010	chronic psychosis
M1011	vitamin b12 deficiency
M1012	prevent premature ovulation
M1013	acute sinusitis
M1014	urinary tract infections (cystitis)
M1015	central nervous system toxicity
M1016	amebiasis
M1017	coagulopathy
M1018	subacute sclerosing panencephalitis
M1019	lactose intolerance
M1020	steroid dependent nephrotic syndrome
M1021	primary dysmenorrhea
M1022	hidradenitis suppurativa
M1023	klebsiella-enterobacter-serratia infections
M1024	rh-incompatible pregnancy
M1025	bronchospasm occurring during anesthesia
M1026	agitation associated with schizophrenia or bipolar mania
M1027	diabetes mellitus (type 1)
M1028	nephropathy
M1029	plaque psoriasis
M1030	resectable non-small cell lung cancer
M1031	postoperative inflammation following ocular surgery
M1032	esophageal squamous cell carcinoma
M1033	pustular psoriasis
M1034	muscle pain
M1035	skin ulcers
M1036	breast pain
M1037	cerebrovascular insufficiency
M1038	diabetic neuropathy
M1039	growth hormone gene deletion
M1040	acute mountain sickness
M1041	vasomotor rhinitis
M1042	pain after injury
M1043	aids-related kaposi's sarcoma
M1044	heterotopic ossification
M1045	retinopathy
M1046	chronic constipation
M1047	acute pain
M1048	relapsed or refractory chronic lymphocytic leukemia
M1049	degenerative disc disease
M1050	cholangiocarcinoma
M1051	actinic keratosis
M1052	acute exacerbations of multiple sclerosis
M1053	fusarium infections
M1054	herpes labialis
M1055	cystic fibrosis (cf) in patients homozygous for the f508del mutation in the cftr gene
M1056	scedosporium apiospermum infection
M1057	diabetic retinopathy (dr)
M1058	severe aplastic anemia
M1059	medulloblastoma
M1060	hookworm infections
M1061	arrhythmia
M1062	streptococcus pneumoniae type 33f
M1063	chronic nonagitated schizophrenia
M1064	pemphigus
M1065	wound infection
M1066	conjunctivitis
M1067	central nervous system neoplasms
M1068	osteosarcoma
M1069	open-angle glaucoma
M1070	anogenital pruritus
M1071	primary hypercholesterolemia
M1072	influenza disease caused by influenza virus subtypes a and types b
M1073	staphylococcal skin infections
M1074	partial urethral obstruction
M1075	acute migraine
M1076	pneumocystis jiroveci pneumonia
M1077	acute attacks of hereditary angioedema (hae) due to c1 esterase inhibitor deficiency
M1078	ewing's sarcoma
M1079	hypertrichosis
M1080	cutaneous candidiasis
M1081	bronchospasm associated with chronic obstructive pulmonary disease
M1082	chronic lymphocytic leukemia
M1083	mastocytosis
M1084	asymptomatic left ventricular dysfunction
M1085	insulin-like growth factor deficiency (igfd)
M1086	immunoglobulin a nephropathy (igan)
M1087	idiopathic neutropenia
M1088	vancomycin-resistant enterococcus faecium infections
M1089	hepatic encephalopathy
M1090	burkitt's lymphoma
M1091	vasospastic angina
M1092	acute psychosis
M1093	pinworm infections
M1094	plasmodium falciparum malaria
M1095	partial-onset seizures
M1096	thiamine deficiency
M1097	coronary revascularization
M1098	chronic hepatitis (viral b)
M1099	visceral spasms
M1100	postmenopausal symptoms
M1101	delayed male puberty
M1102	staphylococcal endocarditis
M1103	blastic plasmacytoid dendritic cell neoplasm (bpdcn)
M1104	neutropenia
M1105	bacterial respiratory tract infections
M1106	obstetric labor complication
M1107	severe congenital protein c deficiency
M1108	growth failure due to being born small for gestational age (sga)
M1109	osteoporosis
M1110	atypical hemolytic uremic syndrome
M1111	menopausal syndrome
M1112	acid sphingomyelinase deficiency (asmd)
M1113	streptococcus pneumoniae type 12f
M1114	heterozygous familial hypercholesterolemia
M1115	acute hypotensive state
M1116	premenstrual syndrome
M1117	recurrent or metastatic head and neck squamous cell carcinoma
M1118	precocious puberty
M1119	cyclitis
M1120	growth failure
M1121	complications of leptin deficiency
M1122	fibromyalgia
M1123	hernia
M1124	metastatic basal cell carcinoma (mbcc)
M1125	severe erythema multiforme (stevens-johnson syndrome)
M1126	large roundworm infections
M1127	chronic open-angle glaucoma
M1128	bacterial blepharitis
M1129	cutaneous squamous cell carcinoma (cscc)
M1130	von willebrand's disease (type i)
M1131	angina pectoris
M1132	paroxysmal atrial fibrillation
M1133	lupus nephritis
M1134	herpes simplex
M1135	juvenile idiopathic arthritis
M1136	refractory anaplastic astrocytoma
M1137	interstitial cystitis
M1138	unresectable hepatocellular carcinoma (hcc)
M1139	hyperhidrosis
M1140	locally advanced non-squamous non-small cell lung cancer
M1141	psoriatic arthritis
M1142	vincent's gingivitis
M1143	refractory bleeding after cardiac surgery
M1144	thyroid gland autonomy
M1145	articular cartilage defects of knee
M1146	metastatic melanoma
M1147	nausea associated with gastroenteritis
M1148	cervical dilatation
M1149	galactorrhea
M1150	otitis
M1151	metastatic breast cancer
M1152	ichthyosis vulgaris
M1153	uterine hemorrhage
M1154	pain in osteoarthritis
M1155	mydriasis
M1156	cardiac arrest
M1157	neisseria meningitidis group y
M1158	constipation
M1159	mild to moderate dementia of the alzheimer's type
M1160	exposure keratitis
M1161	streptococcus pneumoniae type 9v
M1162	agitation and restlessness in the elderly
M1163	moderately active ulcerative colitis
M1164	restoration of patency to intravenous catheters
M1165	sexual dysfunction
M1166	subependymal giant cell astrocytoma (sega)
M1167	meningococcemia
M1168	basal cell carcinoma
M1169	neuralgia
M1170	psoriatic erythroderma
M1171	selenium deficiency
M1172	fever
M1173	familial hypercholesterolemia
M1174	idiopathic achalasia
M1175	oropharyngeal candidiasis
M1176	small cell lung cancer (sclc)
M1177	hiv associated diarrhea
M1178	retinopathy of prematurity (rop)
M1179	primary progressive multiple sclerosis
M1180	acute bacterial otitis media
M1181	essential tremor
M1182	alk-positive anaplastic large t-cell lymphoma
M1183	streptococcus pneumoniae type 6a
M1184	hyponatremia
M1185	tuberculous meningitis
M1186	advanced gastrointestinal stromal tumor
M1187	merkel cell carcinoma (mcc)
M1188	trichinosis
M1189	minor cuts
M1190	traumatic wounds
M1191	alk-positive advanced non-small cell lung cancer
M1192	human papillomavirus type-16 (hpv-16)
M1193	locally advanced or metastatic cutaneous squamous cell carcinoma (mcscc)
M1194	hay fever
M1195	locally advanced or unresectable soft tissue sarcoma
M1196	plasminogen deficiency type 1 (hypoplasminogenemia)
M1197	cytomegalovirus retinitis
M1198	late-onset pompe disease
M1199	purpura fulminans
M1200	adenosine deaminase severe combined immune deficiency (ada-scid)
M1201	advanced breast cancer in postmenopausal women
M1202	post-operative deep vein thrombosis (dvt)
M1203	steroid-resistant nephrotic syndrome
M1204	metastatic malignant tumor
M1205	cystic fibrosis
M1206	glaucoma
M1207	metastatic triple-negative breast cancer (tnbc)
M1208	neuroblastoma
M1209	intracoronary emboli
M1210	postoperative thrombosis
M1211	acute decompensated heart failure
M1212	severe hypoglycemia
M1213	relapsed or refractory acute myeloid leukemia
M1214	bulimia nervosa
M1215	chronic alcoholism
M1216	central cranial diabetes insipidus
M1217	vomiting induced by cytotoxic therapy
M1218	severe pain
M1219	infections of mastoidectomy and fenestration cavities
M1220	b-cell precursor acute lymphocytic leukemia (all)
M1221	persistent pulmonary hypertension of the newborn
M1222	sporotrichosis
M1223	noninsulin-dependent diabetes mellitus
M1224	alk-positive metastatic non-small cell lung cancer
M1225	colorectal cancer
M1226	diabetic peripheral neuropathy
M1227	acute leukemia
M1228	oral warts arising from hiv infection
M1229	chronic asthmatic bronchitis
M1230	myositis
M1231	treatment-resistant depression
M1232	pelvis infections
M1233	lower respiratory tract infections
M1234	transient ischemic attacks
M1235	metastatic hormone receptor-positive (her2+) breast cancer
M1236	hypoalbuminemia
M1237	hepatitis (viral a)
M1238	delayed nausea and vomiting associated with initial and repeat courses of emetogenic cancer chemotherapy
M1239	chronic anxiety
M1240	complicated intra-abdominal infections
M1241	intra-abdominal infections
M1242	petit mal seizures
M1243	hormone-refractory prostate cancer
M1244	menopausal symptoms
M1245	hypercholesterolemia
M1246	dry eyes
M1247	systemic sclerosis-associated interstitial lung disease
M1248	ovarian cancer
M1249	zollinger-ellison syndrome
M1250	noncompensatory sinus tachycardia
M1251	refractory childhood acute lymphocytic leukemia
M1252	age-related memory impairment
M1253	tinea versicolor
M1254	partial seizures
M1255	seizures
M1256	fusospirochetosis
M1257	joint pain
M1258	panuveitis
M1259	papillary urothelial cell carcinoma
M1260	early hormone receptor-positive (her2+) breast cancer
M1261	drug-induced extrapyramidal reactions
M1262	cholestasis
M1263	cluster headache
M1264	pancreatic insufficiency
M1265	uncomplicated urinary tract infections
M1266	ulcerative colitis
M1267	female breast cancer
M1268	uncomplicated allergic skin manifestations of angioedema
M1269	nasopharyngeal carcinoma
M1270	chronic urea-splitting urinary infection
M1271	pneumocystis carinii pneumonia
M1272	minimal change nephropathy
M1273	hyperbilirubinemia
M1274	acute intestinal amebiasis
M1275	moderate hypertension
M1276	alopecia
M1277	hypoestrogenism
M1278	opioid-induced constipation (oic)
M1279	chronic idiopathic urticaria
M1280	chronic transplant rejection
M1281	iron deficiency anemia
M1282	distal ulcerative colitis
M1283	organophosphate poisoning
M1284	clostridium difficile infections
M1285	tuberous sclerosis complex
M1286	cerebral adrenoleukodystrophy (cald)
M1287	increase bone mass in men with osteoporosis
M1288	mild to moderate dementia associated with parkinson's disease
M1289	uterine atony
M1290	debilitating anxiety
M1291	dysthymic disorder
M1292	vertigo
M1293	food allergy
M1294	exfoliative dermatitis
M1295	influenza
M1296	streptococcus pneumoniae type 10a
M1297	prevent pregnancy
M1298	metastatic renal cell carcinoma (rcc)
M1299	short bowel syndrome
M1300	female hypogonadism
M1301	rho (d)-negative individuals transfused with rh0(d)-positive red blood cells (rbcs) or blood components containing rh0(d)-positive rbcs
M1302	postinfectious cough
M1303	hormone refractory prostate cancer
M1304	acutely decompensated heart failure
M1305	chronic obstructive pulmonary disease (copd)
M1306	acute ischemic stroke (ais)
M1307	bacterial vaginosis
M1308	cutaneous t-cell lymphoma
M1309	perioperative hemorrhage
M1310	peripheral t-cell lymphoma
M1311	multinodular goiter
M1312	extraintestinal amebiasis
M1313	congenital adrenal hyperplasia
M1314	neurotrophic keratitis
M1315	spastic constipation
M1316	erythrasma
M1317	bacterial gastroenteritis
M1318	moderate to severe rheumatoid arthritis
M1319	multidrug resistant tuberculosis
M1320	cyclic neutropenia
M1321	progressive familiar intrahepatic cholestasis (pfic)
M1322	genital prolapse
M1323	dysmenorrhea
M1324	oral candidiasis
M1325	allergies
M1326	mixed-cell type lymphoma
M1327	primary hyperlipidemia
M1328	north american crotalid envenomation
M1329	ankylosing spondylitis
M1330	hereditary angioedema
M1331	viral induced lung injury
M1332	life-threatening or uncontrolled bleeding
M1333	iron overload
M1334	caloric intake deficit
M1335	asymptomatic meningococcal infection
M1336	human papillomavirus (hpv) type 45
M1337	panic disorder
M1338	bacterial or protozoal diarrhea
M1339	muscle spasms
M1340	community-acquired pneumonia
M1341	bipolar disorder
M1342	uncomplicated malignant hypertension
M1343	hypoactive sexual desire disorder
M1344	toothache
M1345	multi-infarct dementia
M1346	loiasis
M1347	non-alcoholic fatty liver disease
M1348	metastatic prostate cancer
M1349	braf v600e mutation-positive metastatic colorectal cancer
M1350	giardiasis
M1351	intermittent asthma
M1352	von hippel-lindau (vhl) disease
M1353	prophylaxis of liver transplant rejection
M1354	high-grade b-cell lymphoma
M1355	familial chylomicronemia
M1356	diabetic foot ulcer
M1357	acute cystitis
M1358	herpes zoster keratitis
M1359	warts
M1360	cataplexy
M1361	metastatic medullary thyroid cancer
M1362	metastatic ros1-positive non-small cell lung cancer
M1363	uncomplicated skin and skin structure infections
M1364	mucopolysaccharidosis vi
M1365	blastomycosis
M1366	chronic kidney disease (ckd)
M1367	measles
M1368	peptic ulcers
M1369	anorexia in aids
M1370	systemic embolism in patients with non-valvular atrial fibrillation
M1371	tertiary hypothyroidism
M1372	magnesium deficiency
M1373	mild erysipelas
M1374	giant cell arteritis
M1375	black widow spider bites
M1376	necator americanus infection
M1377	melanoma
M1378	hyperthermia
M1379	preoperative sedation
M1380	endometrial cancer
M1381	secondary amenorrhea
M1382	coagulation factor deficiency
M1383	castrate-resistant prostate cancer
M1384	bronchial asthma
M1385	acute iron intoxication
M1386	thermal burns containing intact dermal elements
M1387	ocular pain
M1388	external eye infections
M1389	anthrax
M1390	gastrointestinal smooth muscle spasms
M1391	wounds
M1392	moraxella catarrhalis
M1393	thyroid cancer
M1394	primary biliary cholangitis
M1395	myopic choroidal neovascularization
M1396	intraoperative miosis
M1397	vascular headaches
M1398	coronavirus disease 2019 (covid-19)
M1399	bacterial conjunctivitis
M1400	coronary artery disease
M1401	severe sepsis
M1402	scrapes
M1403	fibrodysplasia ossificans progressiva
M1404	muckle-wells syndrome (mws)
M1405	vaginal dryness
M1406	phototoxicity
M1407	polyneuropathy of hereditary transthyretin-mediated amyloidosis
M1408	cryptococcal meningitis
M1409	hepatocellular carcinoma (hcc)
M1410	thrombocythemia
M1411	renal transplant rejection
M1412	hypogonadism
M1413	hepatitis (viral d)
M1414	motion sickness in dogs
M1415	intermediate uveitis
M1416	pain
M1417	benign prostatic hyperplasia
M1418	urogenital infections
M1419	dangerous hemorrhages
M1420	thyroid eye disease
M1421	peptostreptococcus species
M1422	postmenopausal breast cancer
M1423	postoperative venous thromboembolism
M1424	alpha-mannosidosis
M1425	growth failure due to prader-willi syndrome (pws)
M1426	metabolic syndrome
M1427	chronic pancreatitis
M1428	bradycardia
M1429	adhd in children
M1430	third-degree burns
M1431	keratosis
M1432	hpv positive with high grade squamous intraepithelial lesions
M1433	chronic non-infectious uveitis affecting the posterior segment of the eye
M1434	anaemia
M1435	central nervous system (cns) hemangioblastomas
M1436	cutaneous photoaging
M1437	osteopetrosis
M1438	generalized pustular psoriasis (gpp) flares
M1439	streptococcus pneumoniae type 5
M1440	megacolon
M1441	acute massive pulmonary embolism
M1442	staphylococcus aureus
M1443	urinary tract infections
M1444	malignant mesothelioma
M1445	soft tissue sarcoma
M1446	suppression of rhesus (rh) isoimmunization
M1447	extensively-drug resistant tuberculosis
M1448	lambert-eaton myasthenic syndrome
M1449	intertrigo
M1450	dermatosis
M1451	methotrexate toxicity
M1452	sleep-onset insomnia
M1453	oral corticosteroid dependent asthma
M1454	severe acne
M1455	conn's syndrome
M1456	extrapyramidal disorders
M1457	surface wounds
M1458	immune thrombocytopenic purpura
M1459	childhood rhabdomyosarcoma
M1460	helicobacter pylori
M1461	pneumococcal bacteremia
M1462	acute and chronic respiratory tract infections
M1463	haemophilus influenzae
M1464	malignant pleural effusion
M1465	dedifferentiated liposarcoma
M1466	meniere's disease
M1467	letterer-siwe disease (histiocytosis x)
M1468	unresectable or metastatic melanoma with a braf v600e or v600k mutation
M1469	hypercalcemia
M1470	diarrhea
M1471	respiratory distress syndrome (rds)
M1472	blindness
M1473	stable angina
M1474	pompe disease
M1475	paragonimiasis
M1476	ascites
M1477	symptomatic premature ventricular beats
M1478	refractory chronic myeloid leukemia (cml)
M1479	psychomotor agitation
M1480	osteolytic bone metastases of breast cancer
M1481	esophageal varices
M1482	neuromuscular blockade
M1483	moderate acne vulgaris
M1484	nausea and vomiting associated with surgical and diagnostic procedures
M1485	mast cell leukemia
M1486	primary ovarian failure
M1487	zinc deficiency
M1488	paget's disease
M1489	cholangitis
M1490	rotavirus gastroenteritis
M1491	musculoskeletal pain
M1492	human papillomavirus (hpv)
M1493	paroxysmal supraventricular tachycardia
M1494	brain tumor malignancy
M1495	bacterial urethritis
M1496	corticosteroid-responsive dermatoses
M1497	coronary occlusion
M1498	hemophilia a
M1499	mental capacity decline
M1500	documented ventricular arrhythmias
M1501	gaucher's disease type 1
M1502	central precocious puberty
M1503	vitamin c deficiency
M1504	ebola virus infection
M1505	hyperuricemia in patients with gout
M1506	relapsed or refractory acute lymphocytic leukemia
M1507	pituitary pars intermedia dysfunction (equine cushing's disease) in horses
M1508	t-cell/histiocyte rich large b-cell lymphoma (lbcl)
M1509	pyelonephritis
M1510	malignant ascites tumors
M1511	bacterial infections of root canal
M1512	post-traumatic stress disorder
M1513	bacterial otitis
M1514	alkalinisation of the urine
M1515	urinary retention
M1516	rabies infections
M1517	brain tumors
M1518	unresectable stage iii non-small cell lung cancer (nsclc)
M1519	acute manic or mixed episodes associated with bipolar i disorder
M1520	hormone receptor-positive (her2+) breast cancer
M1521	motion sickness
M1522	corneal ulcer
M1523	liposarcoma
M1524	hypertension
M1525	giant cell tumors of the tendon sheath
M1526	intermittent claudication
M1527	low cardiac output syndrome
M1528	pruritus ani
M1529	abnormal uterine bleeding
M1530	rubella
M1531	acute otitis media
M1532	trigeminal neuralgia
M1533	her2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma
M1534	non-psychotic anxiety
M1535	moderate to severe persistent asthma
M1536	primary myelofibrosis
M1537	postmenopausal osteoporosis
M1538	inoperable metastatic female breast cancer
M1539	wolff-parkinson-white syndrome
M1540	chronic spasticity
M1541	hemophilia
M1542	leprosy
M1543	t-cell non-hodgkin's lymphoma
M1544	priapism
M1545	brucellosis
M1546	mucopolysaccharidosis
M1547	thromboembolism
M1548	bacterial urinary tract infections
M1549	androgenic alopecia
M1550	chlamydia pneumoniae
M1551	advanced bladder cancer
M1552	ethylene glycol poisoning
M1553	acute tibia fractures
M1554	ventricular arrhythmia
M1555	renal failure
M1556	lead encephalopathy
M1557	eye infections
M1558	vaso-occlusive crisis
M1559	hirsutism
M1560	scarlet fever
M1561	chronic bronchitis
M1562	postoperative hemorrhage
M1563	postoperative dental surgery pain
M1564	streptococcus pneumoniae type 3
M1565	monilial infections of the skin caused by candida albicans
M1566	growth factor deficiency
M1567	secondary headache
M1568	copper deficiency
M1569	postoperative paralytic ileus
M1570	envenomation caused by bites from texas coral snakes (micrurus fulvius tenere)
M1571	keratitis
M1572	chemotherapy induced nausea and vomiting
M1573	neuropathy
M1574	capecitabine overdose
M1575	primary hypothyroidism
M1576	angioedema
M1577	parenteral nutrition
M1578	pyoderma gangrenosum
M1579	pancreatic ductal adenocarcinoma
M1580	lower backache
M1581	early-onset severe toxicity
M1582	anemia of renal insufficiency
M1583	acute myeloid leukemia (aml)
M1584	hemodialysis clotting
M1585	keratoconjunctivitis
M1586	primary superficial basal cell carcinoma
M1587	gastrointestinal infections
M1588	ret fusion-positive non-small cell lung cancer
M1589	papillary tumors
M1590	dental caries
M1591	pruritus
M1592	supraventricular and ventricular arrhythmias
M1593	relapsing-remitting multiple sclerosis
M1594	leiomyosarcoma
M1595	heparin overdosage
M1596	heavy metal poisoning
M1597	complicated skin and skin structure infections
M1598	severe recalcitrant plaque psoriasis
M1599	depression associated with alcoholism
M1600	heart failure post myocardial infarction
M1601	streptococcus pneumoniae type 11a
M1602	waldenstrom's macroglobulinemia
M1603	nausea and vomiting associated with emetogenic chemotherapy
M1604	vernal keratoconjunctivitis
M1605	eosinophilic esophagitis
M1606	growth failure due to turner syndrome (ts)
M1607	bruises
M1608	lipodystrophy
M1609	severe eosinophilic asthma
M1610	menstrual cycle disorder
M1611	osteoarthritis of scapulohumerous
M1612	solar lentigines
M1613	metastatic egfr t790m mutation positive non-small cell lung cancer
M1614	graft versus host disease
M1615	candida infections in patients undergoing hematopoietic stem cell transplantation
M1616	cardiac arrhythmia
M1617	idiopathic generalized epilepsy
M1618	ehlers-danlos syndrome
M1619	periodontitis
M1620	dog mast cell tumors
M1621	bradycardias related to vagal hyper reflectivity
M1622	chronic lymphocytic thyroiditis
M1623	unilateral inguinal hernia
M1624	anal candidiasis
M1625	chronic rhinosinusitis with nasal polyps (crswnp)
M1626	skin pigmentation
M1627	nausea induced by cytotoxic therapy
M1628	pulmonary embolism
M1629	active lupus nephritis
M1630	vulvovaginal candidiasis
M1631	intrahepatic cholangiocarcinoma
M1632	aspergillosis
M1633	follicular b-cell non-hodgkin lymphoma (fl)
M1634	primary hypogonadism
M1635	heartburn
M1636	stable coronary artery disease
M1637	fatty liver disease
M1638	aphthous ulcers
M1639	toxoplasmosis
M1640	dyspareunia
M1641	relapsed follicular lymphoma
M1642	locally advanced or metastatic urothelial carcinoma
M1643	breast cancer in postmenopausal women with osteoporosis
M1644	hyperinsulinemia
M1645	chronic iron overload
M1646	cytomegalovirus infections
M1647	cachexia
M1648	irritability associated with autistic disorder
M1649	macular edema following retinal vein occlusion
M1650	subacute lymphocytic thyroiditis
M1651	heparin-induced thrombocytopenia
M1652	interdigital tinea pedis
M1653	recurrence of clostridium difficile infection
M1654	dupuytren's contracture
M1655	ret-mutant medullary thyroid cancer
M1656	quinine-resistant leg cramps
M1657	perioperative thrombosis
M1658	bacterial prostatitis
M1659	hodgkin's lymphoma
M1660	acute otitis externa
M1661	clostridium difficile-associated diarrhea
M1662	toxoplasmosis encephalitis
M1663	acquired hemophilia
M1664	follicular cd20-positive b-cell non-hodgkin's lymphoma (nhl)
M1665	visceral larva migrans
M1666	atrial flutter
M1667	medullary thyroid cancer
M1668	bacterial pneumonia
