DB00001	Lepirudin
DB01283	Lumiracoxib
DB01288	Fenoterol
DB01291	Pirbuterol
DB01296	Glucosamine
DB01297	Practolol
DB01298	Sulfacytine
DB01299	Sulfadoxine
DB01301	Rolitetracycline
DB01303	Oxtriphylline
DB01306	Insulin aspart
DB01307	Insulin detemir
DB01309	Insulin glulisine
DB01319	Fosamprenavir
DB01320	Fosphenytoin
DB01324	Polythiazide
DB01325	Quinethazone
DB01326	Cefamandole
DB01327	Cefazolin
DB01328	Cefonicid
DB01329	Cefoperazone
DB01330	Cefotetan
DB01331	Cefoxitin
DB01332	Ceftizoxime
DB01333	Cefradine
DB01336	Metocurine
DB01337	Pancuronium
DB01338	Pipecuronium
DB01339	Vecuronium
DB01340	Cilazapril
DB01344	Tolevamer
DB01345	Potassium cation
DB01348	Spirapril
DB01351	Amobarbital
DB01353	Butobarbital
DB01357	Mestranol
DB01359	Penbutolol
DB01365	Mephentermine
DB01366	Procaterol
DB01367	Rasagiline
DB01369	Quinupristin
DB01380	Cortisone acetate
DB01382	Glymidine
DB01392	Yohimbine
DB01393	Bezafibrate
DB01394	Colchicine
DB01395	Drospirenone
DB01396	Digitoxin
DB01399	Salsalate
DB01400	Neostigmine
DB01401	Choline magnesium trisalicylate
DB01403	Methotrimeprazine
DB01406	Danazol
DB01407	Clenbuterol
DB01409	Tiotropium
DB01410	Ciclesonide
DB01413	Cefepime
DB01414	Cefacetrile
DB01415	Ceftibuten
DB01416	Cefpodoxime
DB01418	Acenocoumarol
DB01420	Testosterone propionate
DB01421	Paromomycin
DB01424	Aminophenazone
DB01426	Ajmaline
DB01427	Amrinone
DB01430	Almitrine
DB01432	Cholestyramine
DB01435	Antipyrine
DB01436	Alfacalcidol
DB01437	Glutethimide
DB01438	Phenazopyridine
DB01440	gamma-Hydroxybutyric acid
DB01452	Diamorphine
DB01495	Dichloralphenazone
DB01501	Difenoxin
DB01544	Flunitrazepam
DB01551	Dihydrocodeine
DB01558	Bromazepam
DB01559	Clotiazepam
DB01563	Chloral hydrate
DB01574	Attapulgite
DB01576	Dextroamphetamine
DB01577	Metamfetamine
DB01579	Phendimetrazine
DB01580	Oxprenolol
DB01581	Sulfamerazine
DB01582	Sulfamethazine
DB01583	Liotrix
DB01584	Thyroglobulin
DB01586	Ursodeoxycholic acid
DB01588	Prazepam
DB01589	Quazepam
DB01590	Everolimus
DB01591	Solifenacin
DB01595	Nitrazepam
DB01597	Cilastatin
DB01598	Imipenem
DB01599	Probucol
DB01600	Tiaprofenic acid
DB01601	Lopinavir
DB01602	Bacampicillin
DB01603	Meticillin
DB01604	Pivampicillin
DB01605	Pivmecillinam
DB01606	Tazobactam
DB01607	Ticarcillin
DB01608	Periciazine
DB01609	Deferasirox
DB01610	Valganciclovir
DB01611	Hydroxychloroquine
DB01612	Amyl Nitrite
DB01613	Erythrityl tetranitrate
DB01614	Acepromazine
DB01616	Alverine
DB01618	Molindone
DB01619	Phenindamine
DB01620	Pheniramine
DB01621	Pipotiazine
DB01623	Thiothixene
DB01624	Zuclopenthixol
DB01625	Isopropamide
DB01626	Pargyline
DB01627	Lincomycin
DB01628	Etoricoxib
DB01656	Roflumilast
DB01708	Prasterone
DB01744	Camphor
DB01764	Dalfopristin
DB01783	Pantothenic acid
DB01987	Cocarboxylase
DB02266	Flufenamic acid
DB02300	Calcipotriol
DB02513	Thymol
DB02546	Vorinostat
DB02638	Terlipressin
DB02703	Fusidic acid
DB02789	Pregnenolone
DB02925	Piretanide
DB02959	Oxitriptan
DB03017	Lauric acid
DB03085	Glycolic acid
DB03128	Acetylcholine
DB03147	Flavin adenine dinucleotide
DB03166	Acetic acid
DB03209	Oteracil
DB03247	Flavin mononucleotide
DB03255	Phenol
DB03310	Glutathione disulfide
DB03312	Brivudine
DB03404	Hemin
DB03585	Oxyphenbutazone
DB03614	Mecobalamin
DB03615	Ribostamycin
DB03754	Tromethamine
DB03796	Palmitic Acid
DB03904	Urea
DB04115	Berberine
DB04209	Dequalinium
DB04272	Citric acid
DB04339	Carbocisteine
DB04398	Lactic acid
DB04570	Latamoxef
DB04571	Trioxsalen
DB04572	Thiotepa
DB04573	Estriol
DB04574	Estrone sulfate
DB04575	Quinestrol
DB04626	Apramycin
DB04743	Nimesulide
DB04794	Bifonazole
DB04817	Metamizole
DB04820	Nialamide
DB04821	Nomifensine
DB04822	Oxeladin
DB04824	Phenolphthalein
DB04826	Thenalidine
DB04827	Urethane
DB04832	Zimelidine
DB04834	Rapacuronium
DB04835	Maraviroc
DB04837	Clofedanol
DB04838	Cyclandelate
DB04839	Cyproterone acetate
DB04840	Debrisoquine
DB04841	Flunarizine
DB04842	Fluspirilene
DB04843	Mepenzolate
DB04844	Tetrabenazine
DB04845	Ixabepilone
DB04846	Celiprolol
DB04847	Roxadustat
DB04854	Febuxostat
DB04855	Dronedarone
DB04861	Nebivolol
DB04864	Huperzine A
DB04865	Omacetaxine mepesuccinate
DB04866	Halofuginone
DB04868	Nilotinib
DB04871	Lorcaserin
DB04876	Vildagliptin
DB04880	Enoximone
DB04890	Bepotastine
DB04895	Pegaptanib
DB04896	Milnacipran
DB04897	Lucinactant
DB04898	Ximelagatran
DB04899	Nesiritide
DB04908	Flibanserin
DB04910	Oxibendazole
DB04911	Oritavancin
DB04918	Ceftobiprole
DB04920	Clevidipine
DB04930	Permethrin
DB04931	Afamelanotide
DB04932	Defibrotide
DB04938	Ospemifene
DB04941	Crofelemer
DB04945	Hemoglobin
DB04946	Iloperidone
DB04948	Lofexidine
DB04951	Pirfenidone
DB04953	Ezogabine
DB05013	Ingenol mebutate
DB05015	Belinostat
DB05016	Ataluren
DB05018	Migalastat
DB05039	Indacaterol
DB05057	Erdosteine
DB05084	Abaloparatide
DB05087	Ganaxolone
DB05109	Trabectedin
DB05154	Pretomanid
DB05219	Crisaborole
DB05239	Cobimetinib
DB05245	Silver sulfadiazine
DB05246	Methsuximide
DB05259	Glatiramer
DB05271	Rotigotine
DB05273	Samarium (153Sm) lexidronam
DB05276	Hepatitis B immune globulin
DB05294	Vandetanib
DB05299	Keyhole limpet hemocyanin
DB05311	Ecallantide
DB05316	Pimavanserin
DB05332	Romiplostim
DB05336	Obiltoxaximab
DB05351	Dexlansoprazole
DB05389	Tetrachlorodecaoxide
DB05467	Palovarotene
DB05521	Telaprevir
DB05528	Mipomersen
DB05541	Brivaracetam
DB05578	Ramucirumab
DB05630	Sodium stibogluconate
DB05676	Apremilast
DB05679	Ustekinumab
DB05773	Trastuzumab emtansine
DB05777	Thrombomodulin Alfa
DB05812	Abiraterone
DB05829	Parathyroid hormone
DB05889	Inotuzumab ozogamicin
DB05990	Obeticholic acid
DB06014	Eteplirsen
DB06016	Cariprazine
DB06043	Olaratumab
DB06077	Lumateperone
DB06081	Caplacizumab
DB06083	Tapinarof
DB06119	Cenobamate
DB06137	Tirbanibulin
DB06144	Sertindole
DB06145	Spiramycin
DB06148	Mianserin
DB06149	Teicoplanin
DB06150	Sulfadimethoxine
DB06151	Acetylcysteine
DB06152	Nylidrin
DB06153	Pizotifen
DB06154	Pentaerythritol tetranitrate
DB06155	Rimonabant
DB06168	Canakinumab
DB06174	Noscapine
DB06176	Romidepsin
DB06186	Ipilimumab
DB06193	Pixantrone
DB06196	Icatibant
DB06201	Rufinamide
DB06202	Lasofoxifene
DB06203	Alogliptin
DB06204	Tapentadol
DB06206	Sugammadex
DB06207	Silodosin
DB06209	Prasugrel
DB06210	Eltrombopag
DB06211	Doripenem
DB06215	Ferumoxytol
DB06216	Asenapine
DB06217	Vernakalant
DB06218	Lacosamide
DB06219	Dalbavancin
DB06228	Rivaroxaban
DB06230	Nalmefene
DB06234	Maribavir
DB06237	Avanafil
DB06249	Arzoxifene
DB06262	Droxidopa
DB06267	Udenafil
DB06268	Sitaxentan
DB06273	Tocilizumab
DB06274	Alvimopan
DB06282	Levocetirizine
DB06285	Teriparatide
DB06287	Temsirolimus
DB06288	Amisulpride
DB06290	Simeprevir
DB06292	Dapagliflozin
DB06317	Elotuzumab
DB06335	Saxagliptin
DB06343	Teprotumumab
DB06366	Pertuzumab
DB06372	Rilonacept
DB06401	Bazedoxifene
DB06402	Telavancin
DB06403	Ambrisentan
DB06404	Human C1-esterase inhibitor
DB06412	Oxymetholone
DB06413	Armodafinil
DB06414	Etravirine
DB06415	Calfactant
DB06441	Cangrelor
DB06448	Lonafarnib
DB06480	Prucalopride
DB06589	Pazopanib
DB06590	Ceftaroline fosamil
DB06594	Agomelatine
DB06595	Midostaurin
DB06602	Reslizumab
DB06603	Panobinostat
DB06605	Apixaban
DB06606	Teplizumab
DB06607	Catumaxomab
DB06608	Tafenoquine
DB06612	Mepolizumab
DB06614	Peramivir
DB06616	Bosutinib
DB06626	Axitinib
DB06636	Isavuconazonium
DB06637	Dalfampridine
DB06643	Denosumab
DB06650	Ofatumumab
DB06654	Safinamide
DB06655	Liraglutide
DB06663	Pasireotide
DB06674	Golimumab
DB06681	Belatacept
DB06684	Vilazodone
DB06688	Sipuleucel-T
DB06689	Ethanolamine oleate
DB06690	Nitrous oxide
DB06691	Mepyramine
DB06692	Aprotinin
DB06694	Xylometazoline
DB06695	Dabigatran etexilate
DB06697	Artemether
DB06698	Betahistine
DB06699	Degarelix
DB06700	Desvenlafaxine
DB06701	Dexmethylphenidate
DB06702	Fesoterodine
DB06704	Iobenguane
DB06706	Isometheptene
DB06708	Lumefantrine
DB06710	Methyltestosterone
DB06711	Naphazoline
DB06712	Nilvadipine
DB06713	Norelgestromin
DB06714	Propylhexedrine
DB06716	Fospropofol
DB06717	Fosaprepitant
DB06718	Stanozolol
DB06719	Buserelin
DB06720	Velaglucerase alfa
DB06723	Aluminum hydroxide
DB06725	Lornoxicam
DB06729	Sulfaphenazole
DB06736	Aceclofenac
DB06742	Ambroxol
DB06751	Drotaverine
DB06752	Chymopapain
DB06753	Triclofos
DB06754	Danaparoid
DB06756	Betaine
DB06759	Fomivirsen
DB06760	Sacrosidase
DB06761	Beractant
DB06762	Pinacidil
DB06764	Tetryzoline
DB06766	Alcaftadine
DB06768	Ammonium lactate
DB06769	Bendamustine
DB06770	Benzyl alcohol
DB06771	Besifloxacin
DB06772	Cabazitaxel
DB06773	Human calcitonin
DB06774	Capsaicin
DB06775	Carglumic acid
DB06776	Sodium cellulose phosphate
DB06777	Chenodeoxycholic acid
DB06778	Cupric sulfate
DB06779	Dalteparin
DB06780	Desoxycorticosterone acetate
DB06781	Difluprednate
DB06782	Dimercaprol
DB06785	Ganirelix
DB06786	Halcinonide
DB06787	Hexocyclium
DB06788	Histrelin
DB06789	Hydroxyprogesterone caproate
DB06791	Lanreotide
DB06794	Lodoxamide
DB06797	Mebutamate
DB06799	Methenamine
DB06800	Methylnaltrexone
DB06802	Nepafenac
DB06803	Niclosamide
DB06804	Nonoxynol-9
DB06807	Phenyl aminosalicylate
DB06809	Plerixafor
DB06813	Pralatrexate
DB06815	Pyrithione
DB06816	Pyrvinium
DB06817	Raltegravir
DB06820	Sulconazole
DB06821	Sulfameter
DB06822	Tinzaparin
DB06823	Tiopronin
DB06824	Triethylenetetramine
DB06825	Triptorelin
DB06826	Unoprostone
DB06827	Viomycin
DB07565	Chloramphenicol succinate
DB08329	Sulthiame
DB08439	Parecoxib
DB08604	Triclosan
DB08797	Salicylamide
DB08799	Antazoline
DB08801	Dimetindene
DB08804	Nandrolone decanoate
DB08813	Nadroparin
DB08814	Triflusal
DB08815	Lurasidone
DB08816	Ticagrelor
DB08818	Hyaluronic acid
DB08819	Tafluprost
DB08820	Ivacaftor
DB08822	Azilsartan medoxomil
DB08823	Spinosad
DB08824	Ioflupane I-123
DB08826	Deferiprone
DB08827	Lomitapide
DB08828	Vismodegib
DB08834	Tauroursodeoxycholic acid
DB08842	Acetylcarnitine
DB08860	Pitavastatin
DB08864	Rilpivirine
DB08865	Crizotinib
DB08867	Ulipristal
DB08868	Fingolimod
DB08869	Tesamorelin
DB08870	Brentuximab vedotin
DB08871	Eribulin
DB08872	Gabapentin enacarbil
DB08873	Boceprevir
DB08874	Fidaxomicin
DB08875	Cabozantinib
DB08876	Taliglucerase alfa
DB08877	Ruxolitinib
DB08879	Belimumab
DB08880	Teriflunomide
DB08881	Vemurafenib
DB08882	Linagliptin
DB08883	Perampanel
DB08885	Aflibercept
DB08886	Asparaginase Erwinia chrysanthemi
DB08888	Ocriplasmin
DB08889	Carfilzomib
DB08890	Linaclotide
DB08893	Mirabegron
DB08894	Peginesatide
DB08895	Tofacitinib
DB08896	Regorafenib
DB08897	Aclidinium
DB08899	Enzalutamide
DB08900	Teduglutide
DB08901	Ponatinib
DB08902	Raxibacumab
DB08903	Bedaquiline
DB08904	Certolizumab pegol
DB08905	Formestane
DB08906	Fluticasone furoate
DB08907	Canagliflozin
DB08908	Dimethyl fumarate
DB08910	Pomalidomide
DB08911	Trametinib
DB08912	Dabrafenib
DB08916	Afatinib
DB08917	Ferric carboxymaltose
DB08918	Levomilnacipran
DB08930	Dolutegravir
DB08931	Riociguat
DB08932	Macitentan
DB08933	Luliconazole
DB08934	Sofosbuvir
DB08935	Obinutuzumab
DB08936	Chlorcyclizine
DB08938	Magaldrate
DB08941	Isoxsuprine
DB08943	Isoconazole
DB08944	Isoaminile
DB08949	Inositol nicotinate
DB08950	Indoramin
DB08958	Hexetidine
DB08964	Gemeprost
DB08965	Fusafungine
DB08966	Fursultiamine
DB08967	Dimetotiazine
DB08971	Fluocortolone
DB08976	Floctafenine
DB08981	Fenbufen
DB08985	Etilefrine
DB08987	Etidocaine
DB08995	Diosmin
DB09009	Articaine
DB09015	Canrenoic acid
DB09016	Butriptyline
DB09019	Bromhexine
DB09020	Bisacodyl
DB09026	Aliskiren
DB09027	Ledipasvir
DB09029	Secukinumab
DB09030	Vorapaxar
DB09033	Vedolizumab
DB09034	Suvorexant
DB09035	Nivolumab
DB09036	Siltuximab
DB09037	Pembrolizumab
DB09038	Empagliflozin
DB09039	Eliglustat
DB09040	Efinaconazole
DB09041	Tavaborole
DB09042	Tedizolid phosphate
DB09043	Albiglutide
DB09045	Dulaglutide
DB09046	Metreleptin
DB09047	Finafloxacin
DB09048	Netupitant
DB09049	Naloxegol
DB09050	Ceftolozane
DB09051	Elosulfase alfa
DB09052	Blinatumomab
DB09053	Ibrutinib
DB09054	Idelalisib
DB09055	Acipimox
DB09056	Amorolfine
DB09057	Anthrax immune globulin human
DB09059	Atosiban
DB09060	Avibactam
DB09061	Cannabidiol
DB09063	Ceritinib
DB09064	Ciprofibrate
DB09065	Cobicistat
DB09068	Vortioxetine
DB09069	Trimetazidine
DB09070	Tibolone
DB09071	Tasimelteon
DB09072	Sodium oxybate
DB09073	Palbociclib
DB09074	Olaparib
DB09075	Edoxaban
DB09076	Umeclidinium
DB09077	Dinutuximab
DB09078	Lenvatinib
DB09079	Nintedanib
DB09080	Olodaterol
DB09081	Idebenone
DB09082	Vilanterol
DB09083	Ivabradine
DB09084	Benzydamine
DB09087	Potassium alum
DB09088	Amylocaine
DB09089	Trimebutine
DB09090	Pinaverium
DB09094	Podophyllin
DB09095	Difluocortolone
DB09096	Benzoyl peroxide
DB09097	Quinagolide
DB09098	Somatrem
DB09099	Somatostatin
DB09100	Thyroid, porcine
DB09101	Elvitegravir
DB09102	Daclatasvir
DB09104	Magnesium hydroxide
DB09105	Asfotase alfa
DB09106	Hydroxyethyl Starch
DB09107	Methoxy polyethylene glycol-epoetin beta
DB09109	Turoctocog alfa
DB09110	Coenzyme M
DB09113	Poractant alfa
DB09114	Colfosceril palmitate
DB09115	Diiodohydroxyquinoline
DB09116	Calcium carbimide
DB09117	Paraldehyde
DB09118	Stiripentol
DB09119	Eslicarbazepine acetate
DB09120	Zucapsaicin
DB09121	Aurothioglucose
DB09122	Peginterferon beta-1a
DB09123	Dienogest
DB09124	Medrogestone
DB09126	Chorionic Gonadotropin (Human)
DB09128	Brexpiprazole
DB09129	Chromic chloride
DB09141	Protamine sulfate
DB09143	Sonidegib
DB09144	Uridine triacetate
DB09146	Iron sucrose
DB09148	Florbetaben (18F)
DB09149	Florbetapir (18F)
DB09155	Helium
DB09167	Dosulepin
DB09183	Dasabuvir
DB09185	Viloxazine
DB09195	Lorpiprazole
DB09205	Moxisylyte
DB09208	Pegloticase
DB09209	Pholcodine
DB09210	Piracetam
DB09212	Loxoprofen
DB09213	Dexibuprofen
DB09214	Dexketoprofen
DB09216	Tolfenamic acid
DB09217	Firocoxib
DB09219	Bisoxatin
DB09220	Nicorandil
DB09222	Fibrinogen human
DB09225	Zotepine
DB09228	Conestat alfa
DB09236	Lacidipine
DB09237	Levamlodipine
DB09238	Manidipine
DB09242	Moxonidine
DB09256	Tegafur
DB09257	Gimeracil
DB09258	Bemiparin
DB09259	Reviparin
DB09260	Parnaparin
DB09261	Certoparin
DB09263	Patiromer
DB09265	Lixisenatide
DB09267	Strontium ranelate
DB09268	Picosulfuric acid
DB09269	Phenylacetic acid
DB09272	Eluxadoline
DB09274	Artesunate
DB09275	Bismuth subcitrate potassium
DB09276	Sodium aurothiomalate
DB09277	Choline C 11
DB09280	Lumacaftor
DB09281	Magnesium trisilicate
DB09282	Molsidomine
DB09291	Rolapitant
DB09292	Sacubitril
DB09293	Iodide I-131
DB09296	Ombitasvir
DB09297	Paritaprevir
DB09299	Tenofovir alafenamide
DB09301	Chondroitin sulfate
DB09302	Alirocumab
DB09303	Evolocumab
DB09312	Antilymphocyte immunoglobulin (horse)
DB09317	Synthetic Conjugated Estrogens, A
DB09318	Synthetic Conjugated Estrogens, B
DB09319	Carindacillin
DB09320	Procaine benzylpenicillin
DB09324	Sulbactam
DB09326	Ammonia N-13
DB09327	Tegafur-uracil
DB09328	Vayarin
DB09329	Antihemophilic factor (recombinant), PEGylated
DB09330	Osimertinib
DB09331	Daratumumab
DB09335	Alatrofloxacin
DB09341	Dextrose, unspecified form
DB09342	Propoxycaine
DB09343	Tipiracil
DB09348	Propiolactone
DB09350	Piperonyl butoxide
DB09351	Levobetaxolol
DB09355	Sulfabenzamide
DB09371	Norethynodrel
DB09372	Tannic acid
DB09376	Lapyrium
DB09378	Fluprednisolone
DB09379	Sutilain
DB09381	Esterified estrogens
DB09385	Cyanocobalamin Co-57
DB09389	Norgestrel
DB09395	Sodium acetate
DB09401	Isosorbide
DB09409	Magnesium acetate tetrahydrate
DB09418	Potassium perchlorate
DB09448	Iodohippurate sodium I-123
DB09477	Enalaprilat
DB09479	Rubidium Rb-82
DB09480	Iofetamine I-123
DB09488	Acrivastine
DB09499	Thiosulfuric acid
DB09512	Simethicone
DB09516	Mequinol
DB09517	Sodium ferric gluconate complex
DB09526	Hydroquinone
DB09543	Methyl salicylate
DB09550	Tetracycline phosphate complex
DB09555	Dexchlorpheniramine maleate
DB09559	Necitumumab
DB09563	Choline C-11
DB09564	Insulin degludec
DB09568	Omega-3-carboxylic acids
DB09570	Ixazomib
DB09877	Corynebacterium diphtheriae
DB10061	Meningococcal (groups A, C, Y and W-135) oligosaccharide diphtheria CRM197 conjugate vaccine
DB10062	Rabies virus inactivated antigen, B
DB10076	Haemophilus influenzae type B strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen
DB10276	Rotavirus vaccine
DB10283	Rabies virus inactivated antigen, A
DB10287	Streptococcus pneumoniae type 6B capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10288	Streptococcus pneumoniae type 9V capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10289	Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10290	Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10291	Streptococcus pneumoniae type 19F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10292	Streptococcus pneumoniae type 23F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10293	Streptococcus pneumoniae type 1 capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10294	Streptococcus pneumoniae type 3 capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10295	Streptococcus pneumoniae type 5 capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10296	Streptococcus pneumoniae type 6A capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10297	Streptococcus pneumoniae type 7F capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10298	Streptococcus pneumoniae type 19A capsular polysaccharide diphtheria CRM197 protein conjugate antigen
DB10299	Human papillomavirus type 6 L1 capsid protein antigen
DB10300	Human papillomavirus type 11 L1 capsid protein antigen
DB10301	Human papillomavirus type 16 L1 capsid protein antigen
DB10302	Human papillomavirus type 18 L1 capsid protein antigen
DB10310	Human papillomavirus type 31 L1 capsid protein antigen
DB10311	Human papillomavirus type 33 L1 capsid protein antigen
DB10312	Human papillomavirus type 45 L1 capsid protein antigen
DB10313	Human papillomavirus type 52 L1 capsid protein antigen
DB10314	Human papillomavirus type 58 L1 capsid protein antigen
DB10315	Measles virus vaccine live attenuated
DB10316	Mumps virus strain B level jeryl lynn live antigen
DB10317	Rubella virus vaccine
DB10319	Streptococcus pneumoniae type 1 capsular polysaccharide antigen
DB10320	Streptococcus pneumoniae type 2 capsular polysaccharide antigen
DB10321	Streptococcus pneumoniae type 3 capsular polysaccharide antigen
DB10322	Streptococcus pneumoniae type 4 capsular polysaccharide antigen
DB10323	Streptococcus pneumoniae type 5 capsular polysaccharide antigen
DB10324	Streptococcus pneumoniae type 6b capsular polysaccharide antigen
DB10325	Streptococcus pneumoniae type 7f capsular polysaccharide antigen
DB10326	Streptococcus pneumoniae type 8 capsular polysaccharide antigen
DB10327	Streptococcus pneumoniae type 9n capsular polysaccharide antigen
DB10328	Streptococcus pneumoniae type 9v capsular polysaccharide antigen
DB10329	Streptococcus pneumoniae type 10a capsular polysaccharide antigen
DB10330	Streptococcus pneumoniae type 11a capsular polysaccharide antigen
DB10331	Streptococcus pneumoniae type 12f capsular polysaccharide antigen
DB10332	Streptococcus pneumoniae type 14 capsular polysaccharide antigen
DB10333	Streptococcus pneumoniae type 15b capsular polysaccharide antigen
DB10334	Streptococcus pneumoniae type 17f capsular polysaccharide antigen
DB10335	Streptococcus pneumoniae type 18c capsular polysaccharide antigen
DB10336	Streptococcus pneumoniae type 19f capsular polysaccharide antigen
DB10337	Streptococcus pneumoniae type 19a capsular polysaccharide antigen
DB10338	Streptococcus pneumoniae type 20 capsular polysaccharide antigen
DB10339	Streptococcus pneumoniae type 22f capsular polysaccharide antigen
DB10340	Streptococcus pneumoniae type 23f capsular polysaccharide antigen
DB10341	Streptococcus pneumoniae type 33f capsular polysaccharide antigen
DB10343	Bacillus calmette-guerin substrain tice live antigen
DB10600	Influenza A virus A/California/7/2009 X-181 (H1N1) antigen (propiolactone inactivated)
DB10770	Foreskin fibroblast (neonatal)
DB10772	Foreskin keratinocyte (neonatal)
DB10790	Bordetella pertussis fimbriae 2/3 antigen
DB10793	Influenza B virus B/Phuket/3073/2013 antigen (formaldehyde inactivated)
DB10794	Influenza B virus B/Brisbane/60/2008 antigen (formaldehyde inactivated)
DB10798	Neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen
DB10799	Neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen
DB10800	Neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen
DB10801	Neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen
DB10803	Typhoid Vi polysaccharide vaccine
DB10805	Yellow fever vaccine
DB10989	Hepatitis A Vaccine
DB10997	Autologous cultured chondrocytes
DB11003	Anthrax vaccine
DB11038	Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated)
DB11041	Influenza A virus A/California/7/2009 X-181 (H1N1) hemagglutinin antigen (propiolactone inactivated)
DB11044	Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated)
DB11050	Typhoid Vaccine Live
DB11051	Azficel-T
DB11059	Carboxymethylcellulose
DB11061	Povidone
DB11063	Polysorbate 80
DB11065	Pancrelipase amylase
DB11066	Pancrelipase protease
DB11072	Hydrogen fluoride
DB11074	Dimethicone
DB11082	Coal tar
DB11085	Resorcinol
DB11089	Docusate
DB11090	Potassium nitrate
DB11092	Stannous fluoride
DB11095	Desirudin
DB11108	Aluminum sesquichlorohydrate
DB11117	Undecylenic acid
DB11121	Chloroxylenol
DB11123	Hypochlorite
DB11124	Racepinephrine
DB11131	Capsicum oleoresin
DB11132	Silicon dioxide
DB11142	Selenomethionine
DB11148	Butamben
DB11155	Triclocarban
DB11156	Pyrantel
DB11157	Anthralin
DB11160	Phenyltoloxamine
DB11166	Antithrombin Alfa
DB11168	Calcium threonate
DB11171	Ferric sulfate
DB11176	Zeaxanthin
DB11181	Homatropine
DB11186	Pentoxyverine
DB11189	Magnesium glycinate
DB11190	Pantethine
DB11201	Menthyl salicylate
DB11217	Arbutin
DB11222	Benzoin resin
DB11230	Magnesium Aluminum Silicate
DB11235	Thonzylamine
DB11239	Aluminum sulfate
DB11246	Copper gluconate
DB11254	Hexylresorcinol
DB11256	Levomefolic acid
DB11263	Polydatin
DB11273	Dihydroergocornine
DB11274	Dihydro-alpha-ergocryptine
DB11275	Epicriptine
DB11278	DL-Methylephedrine
DB11311	Prothrombin
DB11312	Protein C
DB11315	Methscopolamine
DB11323	Glycol salicylate
DB11328	Tetradecyl hydrogen sulfate (ester)
DB11330	Factor IX Complex (Human)
DB11332	Sinapultide
DB11336	Kinetin
DB11359	Guaiacol
DB11362	Selexipag
DB11363	Alectinib
DB11371	Alfaxalone
DB11380	Cambendazole
DB11382	Carbarsone
DB11383	Carbomycin
DB11385	Cefalonium
DB11386	Chlorobutanol
DB11390	Coumaphos
DB11397	Dichlorvos
DB11399	Dirlotapide
DB11403	Emodepside
DB11404	Enrofloxacin
DB11408	Famphur
DB11409	Febantel
DB11412	Fenthion
DB11419	Haloxon
DB11420	Squalane
DB11424	Lufenuron
DB11426	Marbofloxacin
DB11427	Maropitant
DB11428	Medetomidine
DB11431	Moxidectin
DB11441	Oclacitinib
DB11442	Oleandomycin
DB11443	Orbifloxacin
DB11446	Oxfendazole
DB11447	Phenothiazine
DB11448	Phosmet
DB11450	Pimobendan
DB11453	Pradofloxacin
DB11455	Robenacoxib
DB11457	Rotenone
DB11460	Squalene
DB11462	Sulfaethoxypyridazine
DB11466	Tepoxalin
DB11472	Tioxidazole
DB11473	Metrifonate
DB11477	Xylazine
DB11487	Dexamethasone isonicotinate
DB11490	Nalorphine
DB11499	Amphomycin
DB11501	Bunamidine
DB11504	Caramiphen
DB11512	Dihydrostreptomycin
DB11526	Masitinib
DB11544	Salinomycin
DB11549	Tiletamine
DB11552	Tricaine
DB11556	Detomidine
DB11560	Lesinurad
DB11569	Ixekizumab
DB11574	Elbasvir
DB11575	Grazoprevir
DB11580	Ravulizumab
DB11581	Venetoclax
DB11586	Asunaprevir
DB11587	Etafedrine
DB11591	Bilastine
DB11594	Domiphen
DB11595	Atezolizumab
DB11596	Levoleucovorin
DB11597	Human Rho(D) immune globulin
DB11598	Antithrombin III human
DB11603	Rabies immune globulin, human
DB11604	Tetanus immune globulin, human
DB11606	Susoctocog alfa
DB11607	Efmoroctocog alfa
DB11608	Eftrenonacog alfa
DB11609	Normethadone
DB11611	Lifitegrast
DB11613	Velpatasvir
DB11614	Rupatadine
DB11619	Gestrinone
DB11626	Tasonermin
DB11627	Hepatitis B Vaccine (Recombinant)
DB11629	Laropiprant
DB11630	Temoporfin
DB11632	Opicapone
DB11633	Isavuconazole
DB11635	Tocofersolan
DB11636	Nomegestrol
DB11637	Delamanid
DB11638	Artenimol
DB11639	Dibotermin alfa
DB11640	Amifampridine
DB11641	Vinflunine
DB11642	Pitolisant
